ko,en
요즘 가장 흥미로운 한국의 패션은 한복을 일상에서 입기 편하도록 디자인한 생활한복입니다.,"Recently, the most interesting Korean fashion is the daily Hanbok designed to be comfortable to wear in everyday life."
우리가 할 일은 우리가 결정합니다.,We decide what we are going to do.
무료로 샘플을 보내 주는 방법으로 해요.,It's a way to send samples for free.
알코올로 손을 문지르는 것에 대한 반론은 손이 더러울 때는 그 방법이 부적절하다는 것입니다.,A counter argument is that it is inappropriate to rub your hands with alcohol when your hands are dirty.
결제하신 상품이 맞으신 지 확인 부탁드립니다.,Please check if the product you paid for is correct.
Disappeared at 메시지가 발생했지만 네트워크 통신상에는 문제가 없었습니다.,The message Disappeared at occurred but there was no problem in the network communication.
"H124 연어로만, 보내주시기 바랍니다.","With H124 salmon, please send it to me."
여러 개의 제품을 리스팅 할 수 없습니다.,You can't list multiple products.
난 혼자서도 잘 할 수 있어요.,I can do it well by myself.
그리고 히스클리프는 캐서린의 딸을 강제로 결혼시킵니다.,The Nazis forced Cathy to marry them.
우리는 A에게서 인수인계를 받는 과정에서 해당 정보가 누락되었다는 것이 확인하였습니다.,We confirmed that the information was omitted during the process of receiving the induction from A.
"이렇듯이, 상대적 약자인 소비자는 높아진 가격으로 인해 피해를 보게 됩니다.","Like this, consumers, who are the dominant force, suffer damages due to higher prices."
그래서 해당 문서를 작성하여 보내드립니다.,That's why I'm sending you the document.
2 MP 해상도 이상부터의 모듈은 난방 문제나 보드 사이즈 때문에 적용 가능한 하우징이 Flexible 하지 않습니다.,Modules up to 2MP resolution are not flexible because of the heating problem or the size of the board.
"그 이유로는 첫째, 민속촌은 한국의 전통적인 문화를 가장 잘 보여줄 수 있는 곳이기 때문입니다.","The reason is that, firstly, the folk village is the place that can show the traditional culture of Korea."
나는 그 특유의 향신료와 맞지 않았어.,I didn't fit with the unique fragrance.
야옹이님은 만나기 전날 멘션 하나 날려주세요.,Please send me a message the day before you meet Yao-Oh.
이 점 너그러이 이해해 주시기 바랍니다.,Please understand this.
저 사람은 지도 보는 법을 몰라.,That person doesn't know how to read maps.
이 마음은 승무원을 하기에 적합합니다.,This mind is suitable for a flight attendant.
각 인물과 이야기의 배경 묘사가 놀라웠어요.,The description of each character and the background of the story was amazing.
그들은 당신이 너무 아름답다고 말했어요.,They said that you are so beautiful.
Public Market은 필리핀의 전통시장이에요.,The Public Market is a traditional market in the Philippines.
나는 다음 주에 우체국에 가는 거 취소하겠습니다.,I will cancel going to the post office next week.
나는 책을 읽고 영화를 봤음에도 불구하고 정말 감동적이었어요.,It was touching even though I read a book and watched a movie.
그것이 민주주의의 자유를 침해하는 것이라고 했어요.,They said that it violates the freedom of democracy.
신규 제품 오더에 대해 고맙게 생각합니다.,Thank you for the new product order.
그 외 다른 서버들 직접 통신에서는 패킷 손실 없이 정상 동작하고 있습니다.,The other servers in direct communication are working normally without the loss of the packet.
나는 남자 친구를 사랑했는데 그 남자는 그러진 않았어요.,I loved my boyfriend but he wasn't like that.
우리는 화물을 반출해서 재작업 후에 반납할 겁니다.,We will return the cargo after rework and return it to you.
우리는 제곱미터로 물량을 산출한 다음 평방미터로 변환한 값이 2.76 평방 미터입니다.,We calculated the quantity as a decimal meter and converted it to a square meter.
오늘은 제가 당신께 실용적인 영어를 가르쳐 드릴게요.,"Today, I will teach you practical English."
십몇 년 전만 해도 인천 택시 부평 택시로 나뉘어 운행하기도 했습니다.,"Just a few years ago, the Incheon taxi was split into Bupyeong taxi and Bupyeo taxi."
우리는 1월에 만나기로 했습니다.,We are supposed to meet in January.
"광학 스펙트럼 범위의 방사선, 특히 집중된 상황에서는 발화의 원인이될수있다.","Radiation in the spectrum of the optical spectrum can cause inflammation, especially in a highly concentrated situation."
내가 지금까지 즐기는 음식이기 때문이에요.,Because it is the food that I have enjoyed so far.
저는 평창올림픽을 계기로 동계스포츠의 기반이 탄탄하게 잡히길 기대해봅니다.,"With the Pyeongchang Olympics, I hope the foundation of winter sports will be solidified."
당신은 지금 회사에서 일하는 중 아닌가요?,Are you working at the company now?
요즘은 쇼핑을 즐기지 못해요.,I can't enjoy shopping nowadays.
돈 많이 벌어서 한국으로 와.,You should earn a lot and come to Korea.
저는 그때까지 흥미 분야를 열심히 연구하고 있을게요.,I will study my interest field diligently until then.
에미넴은 8마일이라는 영화에 출연했어요.,The singer Demi Lovato appeared in the movie 8 Miles.
우리는 촉촉한 쿠키를 만들 거예요.,We are going to make a moist cookie.
저는 작가 서지효입니다.,I am a writer Seo Jihyeon.
영어 잘 못하지만 최선을 다해 해볼게요.,"I'm not good at English, but I'll try my best."
기호에 따라서 계란을 올려 먹으면 더욱더 맛있다.,It's more delicious if you put some eggs on it depending on your taste.
내가 당신의 이메일로 인보이스를 보내드리겠습니다.,I will send the invoice to your email.
세계야경 판타지 빛 축제 운영 시간을 알려주세요.,Please let me know the opening time of the world night sky paradise light festival.
나는 베트남에 갈 때 한국에서 선물로 사려고 해요.,"When I go to Vietnam, I want to buy it in Korea as a gift."
당신이 조건을 충족한다면 큰 돈을 벌수 있습니다.,"If you fulfill the condition, you can earn a lot of money."
"안녕하세요, 햄과 계란 프라이, 버터를 바른 토스트와 카페오레 한잔 갖다주세요.","Hello, bring me a toast with ham, fried egg, and butter, and a cup of coffee."
저는 다른 문화권에 관심이 많기 때문에 국제적인 사업을 하는 당신의 회사를 선택했습니다.,"Because I am interested in other cultures, I chose your company to do international business."
그래도 괜찮다면 DM 부탁드려요.,"If it's okay, please DM me."
때로 나는 야외에서 바비큐 파티도 하고 경치 구경도 하는 것을 좋아해.,"Whenever I go outside, I like having a barbecue party and looking at the scenery."
가족들과 행복한 추억을 담아 가세요.,Convey happy memories with your family.
건전지의 양쪽 단자에 구리 선을 연결해 열을 낼 수 있었습니다.,They could get heat by connecting the two wires of the power supply to the copper wire.
이것이 동시에 사용이 가능하도록 설계해 주세요.,Please design it so that it can be used at the same time.
보스가 우리의 관계를 머지않아 눈치챌 것입니다.,The boss will notice our relationship soon.
이것은 당신이 승인해야 할 사항이고 당신은 나에게 LD를 보낼 필요가 없습니다.,This is what you have to approve and you don't have to send LD to me.
부디 3년 후에 미국에서 볼 수 있기를 바랍니다.,I hope to see you in America in 3 years.
고객이 한 번도 적용하지 않은 파라미터를 적용하면 다른 문제가 발생할까 걱정합니다.,"They are worried that if they apply a parameter that they have never applied before, another problem might occur."
저는 그 실밥을 없앴습니다.,I removed the spoon.
우리는 A와 제품을 3개로 나누어 진행하기로 유선상으로 확인했습니다.,We have confirmed via wire that we will proceed with 3 products of A and A.
"보습, 선케어, 클렌징까지 어느 하나 중요하지 않은 게 없는 날입니다.","With moisturizing, suncare, and cleansing, there is nothing more important than that."
여러 가지 주장들 중 하나를 예로 들어보자면 전자파가 근처의 사람과 비행기들에게 악영향을 준다는 것입니다.,"For example, one of the many arguments is that the electromagnetic waves affects people and airplanes nearby."
먼저 인터넷으로 좌석 표를 예매해요.,"First, book a seat ticket online."
근무 강도는 회사가 정말 편하고 쉬워.,The company is very comfortable and easy to work.
우리 큰아들이 지금 게임을 하고 있어요.,My grandson is playing a game now.
우리도 너희와 함께 즐거웠던 시간 그리워하고 있단다.,We miss the fun time with you too.
모든 상담원이 오프라인 상태에요.,All the counselors are offline.
그녀가 이 콘서트를 좋아하실까요?,Do you like this concert?
"교수 겸 크리에이티브 디렉터가 될 수가 있고, 뮤지션 및 음악엔지니어가 될 수도 있습니다.",You can be a professor and creative director and a musician.
모두 메뉴 선택을 완료할 때까지 잠시만 기다려주세요.,Please wait for everyone to complete the menu selection.
나의 회사 직원이 오늘 저에게 최고라고 말했습니다.,The employee of my company told me that I was the best today.
우리 고속도로로 가도 괜찮을까요?,Is it okay if we go to the highway?
나는 중국어를 배울 계획이에요.,I am planning to learn Chinese.
믿는 건 나에게 달려 있습니다.,It's up to me to believe.
그녀는 자기 가방을 껴안고 자고 있습니다.,She is sleeping wrapped in her bag.
이 지역에는 빗줄기가 매우 굵습니다.,This area has a lot of rain.
샘플을 채취해 확인했을 때는 이상이 없었습니다.,There was nothing wrong when I took the sample and checked it.
예약을 취소하려면 빨리해야 해요.,You have to cancel the reservation as soon as possible.
이를 통해 우리는 클렌징 '워터'가 닿는 순간 메이크업이 싹 지워집니다는 메시지를 효과적으로 전달할 수 있었습니다.,"through this, we could effectively deliver the message that when the cleansing 'water' touches the face, the makeup is erased."
그래서 피곤해서 너에게 연락을 못 했어.,So I couldn't contact you because I was tired.
네가 보내준 가이드라인은 매장에 공지해서 매장 스태프들이 실행할 수 있도록 할게.,We will inform the guideline you sent to the store so that the staff can execute it.
배송주소는 아래와 같으니 빨리 보내주세요.,"The delivery address is as follows, so please send it quickly."
오늘의 계획은 쇼핑몰에 가는 것이었어.,The plan for today was to go to the shopping mall.
월요일에 홍콩으로 보낼 예정입니다.,We are going to send it to Hongkong on Monday.
영화제작 조명 부문 서울특별시장상을 받았습니다.,They won the Seoul National Award in the category of film-making lights.
이곳은 적당한 대중교통수단이 없기 때문에 모든 사람이 운전을 해요.,"Because there is no suitable public transportation here, everyone drives."
나는 47주의 일부를 수정하였습니다.,I modified part of 47 days.
오늘은 빈방이 두 개밖에 없어요.,There are only two empty rooms today.
오늘 힘든 하루가 되겠네요.,It must be a tough day today.
나도 이 딜이 빨리 마무리되었으면 좋겠어.,I hope this deal can be finished soon.
우리의 사랑이 변하지 않기를 바랍니다.,We hope our love will never change.
의사와 환자 사이의 충분한 대화가 2주 동안은 필수적입니다.,Conversations between doctors and patients are necessary for 2 weeks.
"엄마, 아빠, 너 이렇게 세 명이 살고 있니?","How many people do you have, mom and dad?"
그는 우리 집에서 두 달 동안 머물렀어.,He stayed at my house for two months.
그러나 나는 그렇지 않기 위해 노력해요.,But I try not to.
이 논문은 인장 시험에 대한 총체적인 개념과 이론을 다뤄.,This paper discusses the overall concept and theory of the endoscopy test.
금요일로 약속을 잡고 싶은데요.,I'd like to make an appointment on Friday.
오늘은 토요일이라서 학교에 안 갔어요.,I didn't go to school today because it was Saturday.
그는 타이거 팀의 열광적인 팬이에요.,He is a huge fan of Tigers.
위안부가 이렇게 심각한 문제임에도 불구하고 사람들은 위안부에 대해 많은 정보와 관심이 부족합니다.,People have little knowledge and interest in the widows even though it is such a serious problem.
그들의 목적지는 우선 가까운 나라일 것으로 예상됩니다.,Their destination is expected to be a close country.
관리자로서 직원들의 애로 사항을 개선해 주었습니다.,"As a manager, I improved the concerns of the employees."
저는 고요하면서 잔잔한 노래를 듣고 있습니다.,I'm listening to a peaceful and gentle song.
어렸을 때부터 한 번도 말랐던 적이 없고 항상 통통하였습니다.,They have never been cold since I was young and they were always friendly.
이것이 첫 번째 평등선거입니다.,This is the first equal election.
사람은 자신에게 좋은 말을 믿습니다.,People believe in good things to themselves.
그 이유는 제가 집에 혼자 있을 때 앵무새를 키우면 심심하지 않을 것 같기 때문입니다.,The reason is that I don't think I'll be bored if I raise an owl when I'm at home alone.
당신이 생각해 주는 마음이 더 아주 고마워요.,I really appreciate your thoughtfulness.
우리는 영국에 와서 친구들을 만나고 있었어.,We were meeting friends when we came to England.
저는 싱어송라이터 김석주입니다.,This is singer-songwriter Kim Joong-Ju.
오늘은 별로 좋지 않습니다.,It's not good today.
그가 한가해지면 즉시 저에게 전화해 달라고 해주시겠습니까?,Can you tell him to call me immediately if he gets lazy?
우리는 사진처럼 분무기로 뿌립니다.,We spray it like in the picture.
id 카드에 거는 고리를 받을 수 있는지 궁금해요.,I want to know if I can get the wire on my id card.
왜냐하면 이혼과 연애는 다르기 때문이에요.,This is because divorce and dating are different.
사람들이 아름다운 내면이 모든 것을 넘어선다 하더라도 여자들에게 화장은 중요해요.,"Even if people have a beautiful inner side, makeup is important for women."
만약 여러분들이 아이를 가진 부모라고 했을 때 아이가 밤새도록 자지 않고 게임만 해요면 어떨 것 같은가?,"If you are a parent who has a child, what would it be like if your child sleeps all night and plays games?"
옛날에 토끼와 거북이가 살고 있었어요.,"In the old days, rabbits and tigers lived."
나는 때때로 신선한 공기를 마시기 위해 혼자서 산에 갑니다.,I sometimes go to the mountain alone to get fresh air.
나는 내 돈을 못 찾게 될까 두렵습니다.,I'm afraid I won't be able to find my money.
나의 딸의 웃음은 나를 웃게 만듭니다.,The smile of my daughter makes me smile.
이건 나의 일과도 연관된 이야기야.,This story is related to my work.
오늘 날씨 진짜 환상이네요.,The weather is really fantastic today.
저 물을 좀 살 수 있을까요?,Can I buy that water?
왜 내 생각에 공감을 안 해줘요?,Why don't you agree with me?
그 말이 혀끝에 맴돌기만 하고 나오질 않았어요.,The word just kept popping up in my throat.
선무당이 사람 잡는다는 말이 있어요.,There's a saying that a sailor catches a man.
나는 언제쯤 쌀 점검을 할 수 있는지 알고 싶어.,I want to know when I can check the rice.
"너에게 A 모델을 공급하기 위해 나는 4,000대를 다른 쪽으로 판매되지 않도록 먼저 재고 확보를 해야 해요.","With the aim of supplying you with A model, I have to secure stocks first so that they can be sold to other people."
아이가 매운 걸 못 먹어요.,The child can't eat spicy food.
"손님, 무엇을 도와드릴까요?","What can I do for you, sir?"
아무리 오래 찾아도 나는 설명서를 찾을 수 없었어.,I couldn't find the manual no matter how long I looked for it.
그는 우리나라에서 유명한 가수예요.,He is a famous singer in Korea.
교수님께 전하는 작은 감사의 뜻으로 받아주세요!,"With a small appreciation to the professor, please accept it."
예전에 가족끼리 바다를 간 적이 있습니다.,I've been to the beach with my family before.
그는 처음 본 사람들과 낯가리지 않고 쉽게 친해지는 성격을 가지고 있습니다.,They are easy to get along with people they met for the first time.
거래를 하고 싶어도 이렇게 연락이 잘 안 되는데 어떻게 믿고 거래 할 수 있겠습니까?,How can I trust and make a deal even though I want to contact you?
이 친구는 내가 12년 만에 만난 친구야.,This is the friend I met after 12 years.
당신의 피부색과 맞는 색을 확인하고 구매하세요.,Check the color that matches with your skin color and purchase it.
우리가 수업했을 때가 그리워요.,I miss when we were in class.
늦은 체크인을 하는 대신 클럽 라운지를 이용할 수 있도록 해줄 수 있을까요?,Could you let me use the club lounge instead of checking in late?
이 드레스 업 게임 안의 모든 아이템을 모두 무료로 즐길 수 있습니다.,You can enjoy all the items in this dress-up game for free.
이 문제를 푸는 대수 방정식은 어떻게 되나요?,How do I solve this question with the number of answers?
원래 그런 것인지 궁금합니다.,I wonder if it was originally like that.
"이동 시, 제품 낙하및 끼임 없을 것.","With the move, there will be no falling and diar."
곱창에 통마늘이 들어가 느끼함을 해소했어.,They put a lot of garlic into the fried chicken to relieve the grease.
선적 진행이 된다면 인보이스와 패킹리스트를 업데이트하여 당신에게 보내드리겠습니다.,We will update the invoice and packing list if the shipment is progressed and send it to you.
다만 시험 항목을 생략하는 경우에는 그 사유를 명확이 기재하여야 해요.,"But if you skip the test, you have to write the reason clearly."
"아시안인 저로서는 만약 사업을 시작해요면 일본인, 중국인, 한국인 등 아시아인으로 팀을 꾸려서 그들을 공략하고 싶습니다.","As an Asian, I would like to recruit Asians such as Japanese, Chinese, Korean, and Korean to start a team to target them."
내 생각은 예술은 인간의 기본적인 본능인 감정을 표현하고 의미를 전달하는 역할을 합니다.,I think art plays a role in expressing and delivering the essence of human beings.
그 개는 사람을 안내하고 있어.,The dog is guideing a person.
왼쪽 갈비가 여전히 아프긴 하지만 일하는데 큰 지장은 없을 것 같습니다.,"It is still painful in the left ankle, but I think I won't have much difficulty in my work."
우리는 패키지 인쇄 방식을 변경하지 않기로 했습니다.,We decided not to change the printing method of the package.
잔금을 제외한 금액은 모두 세금입니까?,How much is the tax excluding the balance?
부품혁신은 해당 부품에 대해서만 지식을 가지면 되어서 비교적 쉽게 혁신을 이룰 수 있어요.,People who have knowledge about the component can achieve innovations relatively easily.
내 인생의 반은 그대에게 있어요.,The half of my life belongs to you.
엑스트라넷 정보 API 호출 가능 여부를 확인하세요.,Check whether the external information API can be accessed.
과정은 힘들었지만 뿌듯한 하루였습니다.,"The process was hard, but it was a great day."
"저는 밤에는 강하지만, 아침엔 약합니다.","I am strong at night, but I am weak in the morning."
"당신 제품에 한국 독점자로서 최대한 노력할 것이며, 기본 물량 이상으로 주문을 진행하겠습니다.","We will do our best as a sole distributor of your product, and we will proceed with the order for more than the basic quantity."
나는 며칠 전에 그것을 봤어요.,I saw it a few days ago.
난 그녀한테 잘못한 게 많아서 당당하게 말할 수 없어.,"I have a lot of faults with her, so I can't say it politely."
우리가 요청한 기술 문의가 어떻게 진행 중인지 알고 싶습니다.,We would like to know how the technical inquiry we requested is progressing.
세 번째는 영어 교육 관련 문제예요.,The third question is about English education.
누구도 사랑이란 감정을 이성으로 이해할 수 없어.,People can't understand love with rationality.
번역가들에게 메시지를 남겨주시기 바랍니다.,Please leave a message to the translators.
"라벨 사이즈와 위치를 확인하셔서, 의견이 있으시면 알려주시기 바랍니다.",Please check the size and location of the label and let us know if you have any suggestions.
"먼저, 내 전공은 지구과학교육이에요.","First, my major is Earth science education."
나는 어제 여섯 시간 동안 강의를 했어요.,I gave a lecture for 6 hours yesterday.
여기가 그 말로만 듣던 핫플레이스인가요?,Is this the hot spot you've been hearing?
메이크업 시간이 길어지는 것은 피부의 트러블이 많고 본인의 화장품이 맞지 않기 때문입니다.,The reason why makeup time is short is that the skin has a lot of issues and the cosmetics are not right for you.
내 취미는 음악 감상과 드라마 보기예요.,My hobbies are listening to music and watching dramas.
어제 깜박하고 4 MP 관련 문의에 대한 대답을 메일에 쓰지 못했어요.,The mail was late yesterday and I couldn't reply to the inquiry about 4MP.
내가 자주 가는 갤러리 근처라 가끔 봐.,It's near the gallery where I often go.
그 남자는 카메라를 목에 걸고 있고 손에는 지도를 들고 있어요.,The man is holding a camera on his neck and holding a map in his hand.
이 곡은 대부분의 사람이 한 번쯤은 들어본 곡이기 때문에 영화의 집중도가 높아지지 않을까 싶습니다.,"This song is a song that most people have heard once, so I think the focus of the movie will be increased."
나는 전시회에 참가하기 위해 15일 전에 너에게 이메일을 보냈어.,I sent you an email 15 days ago to participate in the exhibition.
나는 2가지 방식의 트렌드를 알아봤어.,I found two types of trends.
그러나 당신은 혼자인 것 처람 포스팅을 합니다.,But you are posting as if you are alone.
내가 너를 좋아하니까 문제없어요.,I like you so there's no problem.
단지 좋은 친구라면 그냥 여기서 그만두는 게 좋겠어요.,"If you are just a good friend, you should just quit here."
나는 내 첫 번째 바이오라 콘서트를 잊을 수 없다.,I can't forget my first Biora concert.
기념일 하면 빼놓을 수 없는 핼러윈날 2014 기념 두드립니다.,Halloween Day 2014 is a day that is not to be missed.
"CE 스티커는 신규제작이 필요해서, 당신이 우리에게 원하시는 사이즈를 알려주시면 스티커 시안 제작해서 확인 드리겠습니다.","CE stickers need new production, so if you tell us the size you want, we will make a sketch and send it to you."
이미 작업을 하는 줄 알았는데 말이야.,I thought I was already working.
안드로이드 개발을 처음 해봤는데 Alime 덕에 매우 많은 것을 시도할 수 있었습니다.,"With Alime, I was able to try a lot of things for the first time in Android development."
새로운 컨셉으로 리모델링 하는 게 어때?,How about remodeling with a new concept?
"이 사람은 A라는 문제 때문에 상품을 두 번 교체하고, 세 번째 제품이 도착하기를 기다리고 있는 고객이야.",This is the customer who is waiting for the third product because of the problem A.
나는 눈앞에 버스가 있어도 뛰지 않아.,I don't run even when I have a bus in front of me.
그리고 이것이 바로 흰쌀밥입니다.,And this is white rice noodle.
저기 저 복사기 전에 못 보던 거네요.,I didn't see that before I did that copy.
원활한 서비스를 위해 시간을 잠시 조절합니다.,It's temporarily changed the time for the sake of smooth service.
당신에 대해서 좋은 말 참 많이 들었어요.,I heard a lot of good things about you.
당신의 목적지를 검색하세요.,Check your destination.
오늘은 그곳에 유난히 사람이 많았어요.,There were a lot of people today.
당신이 그런 일을 하셔서 저는 많이 놀랐어요.,I was surprised that you did that.
그가 손으로 쓴 글씨는 알아보지 못 하겠어요.,I can't read the letters written by his hand.
"성은이의 오빠는 회사에서 약간의 지원이 있지만, 성은이는 없습니다.","Witheun's older brother has some support from the company, but witheun doesn't."
그런데 사실은 그게 제 뜻은 아니에요.,"But in fact, that's not my intention."
"누적된 미수금에 대하여, 앞으로 매월 발생하는 미수금 현황은 이메일로 통보하도록 하겠습니다.","With regards to the accumulated uncollected funds, we will inform you of the current status of uncollectible funds by e-mail."
밝은 장소에 가면 눈을 뜰 수 없습니다.,You can't close your eyes when you go to a bright place.
너희는 영어와 필리핀어를 동시에 사용하니?,Do you use English and Filipino at the same time?
90년대 후반 박세리의 성공은 다른 한국 여자골퍼들에게 자신감을 주었습니다.,Park Seo-ri's success in the late 90s gave confidence to other Korean female golfers.
나는 두 개의 파일을 첨부했습니다.,I attached two files.
가곡은 현악기와 관악기로 편성된 실내악 규모의 반주에 맞추어 시조 시를 노래로 부르는 성악곡이에요.,Sonata is a symphony piece that is sung in a chorus composed in a concert hall composed of acoustic instruments and organ instruments.
다른 사람들 앞에서 발표하는 걸 잘 못 합니다.,I can't make a presentation in front of other people.
내 생각에는 태국이 더 좋습니다.,I think Thailand is better.
내 가게는 바로 앞에 보이는 백화점 입구에 있어.,The entrance of the department store is right in front of my store.
가게가 몇 시에 여는지 말씀해 주시겠습니까?,Could you tell me what time the store is open?
그는 부드러운 목소리로 말해요.,He speaks softly.
그것은 이상적 혈구에 대해서 조사 할 수 있습니다.,It can be investigated about the desired blood vessels.
위의 내용이 아직 적절한지 그리고 두시스템의 설치를 어떻게 제안하실지 알려주시겠습니까?,Please tell me if the contents above are still appropriate and how you would like to install the two systems.
이 문제를 고쳐주신다면 감사하겠습니다.,I would appreciate it if you could fix this problem.
"우선, 여기에 돈을 넣으시고, 가시고자 하는 곳의 버튼을 누르시면, 표와 거스름돈이 나옵니다.","First, put in the money and press the button to go, and the ticket and change will come out."
우리는 사업에 대하여 이야기할 거야.,We are going to talk about the business.
실례지만 아이디를 찾기 위해 인증 번호가 필요해서요.,"It's a shame, but we need the authentication number to find the ID."
내 파티가 즐겁다니 다행이야.,It's good to hear that you enjoyed my party.
